"Drugs","MOA","Target","Phase","pert_id","moa_brd","moa_final","moa_manual"
"brd-k45818044",NA,NA,NA,"BRD-K45818044","Unknown","Unknown",NA
"brd-k45842176",NA,NA,NA,"BRD-K45842176","Unknown","Unknown",NA
"brd-k45878950",NA,NA,NA,"BRD-K45878950","Unknown","Unknown",NA
"brd-k46171503",NA,NA,NA,"BRD-K46171503","Unknown","Unknown",NA
"brd-k46373671",NA,NA,NA,"BRD-K46373671","Unknown","Unknown",NA
"brd-k46499837",NA,NA,NA,"BRD-K46499837","Unknown","Unknown",NA
"brd-k46532897",NA,NA,NA,"BRD-K46532897","Unknown","Unknown",NA
"brd-k46558254",NA,NA,NA,"BRD-K46558254","Unknown","Unknown",NA
"brd-k46645809",NA,NA,NA,"BRD-K46645809","Unknown","Unknown",NA
"brd-k46681113",NA,NA,NA,"BRD-K46681113","Unknown","Unknown",NA
"brd-k46692335",NA,NA,NA,"BRD-K46692335","Unknown","Unknown",NA
"brd-k47147974",NA,NA,NA,"BRD-K47147974","Unknown","Unknown",NA
"brd-k47448802",NA,NA,NA,"BRD-K47448802","Unknown","Unknown",NA
"brd-k47635719 (dexamethasone acetate)",NA,NA,NA,"BRD-K47635719","glucocorticoid receptor agonist","glucocorticoid receptor agonist",NA
"brd-k47703442",NA,NA,NA,"BRD-K47703442","Unknown","Unknown",NA
"brd-k47709646",NA,NA,NA,"BRD-K47709646","Unknown","Unknown",NA
"brd-k47764688",NA,NA,NA,"BRD-K47764688","Unknown","Unknown",NA
"brd-k48204702",NA,NA,NA,"BRD-K48204702","Unknown","Unknown",NA
"brd-k48388979",NA,NA,NA,"BRD-K48388979","Unknown","Unknown",NA
"brd-k48654774",NA,NA,NA,"BRD-K48654774","Unknown","Unknown",NA
"brd-k48716658",NA,NA,NA,"BRD-K48716658","Unknown","Unknown",NA
"brd-k48803730",NA,NA,NA,"BRD-K48803730","Unknown","Unknown",NA
"brd-k48823327",NA,NA,NA,"BRD-K48823327","Unknown","Unknown",NA
"brd-k48950795",NA,NA,NA,"BRD-K48950795","Unknown","Unknown",NA
"brd-k48970916 (danazol)",NA,NA,NA,"BRD-K48970916","estrogen receptor antagonist, progesterone receptor agonist","estrogen receptor antagonist, progesterone receptor agonist",NA
"brd-k49010888",NA,NA,NA,"BRD-K49010888","Unknown","Unknown",NA
"brd-k49094915",NA,NA,NA,"BRD-K49094915","Unknown","Unknown",NA
"brd-k49371609",NA,NA,NA,"BRD-K49371609","DNA protein kinase inhibitor, PI3K inhibitor","DNA protein kinase inhibitor, PI3K inhibitor",NA
"brd-k49403449",NA,NA,NA,"BRD-K49403449","Unknown","Unknown",NA
"brd-k49553303",NA,NA,NA,"BRD-K49553303","Unknown","Unknown",NA
"brd-k49749421",NA,NA,NA,"BRD-K49749421","Unknown","Unknown",NA
"brd-k49814456",NA,NA,NA,"BRD-K49814456","Unknown","Unknown",NA
"brd-k49861754",NA,NA,NA,"BRD-K49861754","Unknown","Unknown",NA
"brd-k49865102",NA,NA,NA,"BRD-K49865102","MEK inhibitor","MEK inhibitor",NA
"brd-k50002132",NA,NA,NA,"BRD-K50002132","Unknown","Unknown",NA
"brd-k50140147",NA,NA,NA,"BRD-K50140147","ALK tyrosine kinase receptor inhibitor","ALK tyrosine kinase receptor inhibitor",NA
"brd-k50177987",NA,NA,NA,"BRD-K50177987","Unknown","Unknown",NA
"brd-k50204028",NA,NA,NA,"BRD-K50204028","Unknown","Unknown",NA
"brd-k50234570",NA,NA,NA,"BRD-K50234570","Unknown","Unknown",NA
"brd-k50384076",NA,NA,NA,"BRD-K50384076","Unknown","Unknown",NA
"brd-k50387473",NA,NA,NA,"BRD-K50387473","MAP kinase inhibitor","MAP kinase inhibitor",NA
"brd-k50659736",NA,NA,NA,"BRD-K50659736","Unknown","Unknown",NA
"brd-k51155404",NA,NA,NA,"BRD-K51155404","Unknown","Unknown",NA
"brd-k51189903",NA,NA,NA,"BRD-K51189903","Unknown","Unknown",NA
"brd-k51302260",NA,NA,NA,"BRD-K51302260","Unknown","Unknown",NA
"brd-k51377689",NA,NA,NA,"BRD-K51377689","Unknown","Unknown",NA
"brd-k51443908",NA,NA,NA,"BRD-K51443908","Unknown","Unknown",NA
"brd-k51454562",NA,NA,NA,"BRD-K51454562","Unknown","Unknown",NA
"brd-k51556300",NA,NA,NA,"BRD-K51556300","Unknown","Unknown",NA
"brd-k51683034",NA,NA,NA,"BRD-K51683034","Unknown","Unknown",NA
"brd-k51791390",NA,NA,NA,"BRD-K51791390","Unknown","Unknown",NA
"brd-k51941867",NA,NA,NA,"BRD-K51941867","Unknown","Unknown",NA
"brd-k51998148",NA,NA,NA,"BRD-K51998148","Unknown","Unknown",NA
"brd-k52075040",NA,NA,NA,"BRD-K52075040","fatty acid synthase inhibitor","fatty acid synthase inhibitor",NA
"brd-k52080565",NA,NA,NA,"BRD-K52080565","imidazoline receptor agonist","imidazoline receptor agonist",NA
"brd-k52099002",NA,NA,NA,"BRD-K52099002","Unknown","Unknown",NA
"brd-k52321331",NA,NA,NA,"BRD-K52321331","Unknown","Unknown",NA
"brd-k52446745",NA,NA,NA,"BRD-K52446745","Unknown","Unknown",NA
"brd-k52522949",NA,NA,NA,"BRD-K52522949","Unknown","Unknown",NA
"brd-k52678950",NA,NA,NA,"BRD-K52678950","Unknown","Unknown",NA
"brd-k52800308",NA,NA,NA,"BRD-K52800308","Unknown","Unknown",NA
"brd-k52911425",NA,NA,NA,"BRD-K52911425","PI3K inhibitor","PI3K inhibitor",NA
"brd-k52914903",NA,NA,NA,"BRD-K52914903","Unknown","Unknown",NA
"brd-k53308430",NA,NA,NA,"BRD-K53308430","Unknown","Unknown",NA
"brd-k53331454",NA,NA,NA,"BRD-K53331454","Unknown","Unknown",NA
"brd-k53414658",NA,NA,NA,"BRD-K53414658","VEGFR inhibitor","VEGFR inhibitor",NA
"brd-k53423944",NA,NA,NA,"BRD-K53423944","Unknown","Unknown",NA
"brd-k53461563",NA,NA,NA,"BRD-K53461563","Unknown","Unknown",NA
"brd-k53501402",NA,NA,NA,"BRD-K53501402","Unknown","Unknown",NA
"brd-k53566850",NA,NA,NA,"BRD-K53566850","Unknown","Unknown",NA
"brd-k53579868",NA,NA,NA,"BRD-K53579868","Unknown","Unknown",NA
"brd-k53592093",NA,NA,NA,"BRD-K53592093","Unknown","Unknown",NA
"brd-k53610452",NA,NA,NA,"BRD-K53610452","Unknown","Unknown",NA
"brd-k53638321",NA,NA,NA,"BRD-K53638321","Unknown","Unknown",NA
"brd-k53780220",NA,NA,NA,"BRD-K53780220","Unknown","Unknown",NA
"brd-k53816294",NA,NA,NA,"BRD-K53816294","Unknown","Unknown",NA
"brd-k53833301",NA,NA,NA,"BRD-K53833301","Unknown","Unknown",NA
"brd-k53903639",NA,NA,NA,"BRD-K53903639","Unknown","Unknown",NA
"brd-k53932786",NA,NA,NA,"BRD-K53932786","Unknown","Unknown",NA
"brd-k53987746",NA,NA,NA,"BRD-K53987746","Unknown","Unknown",NA
"brd-k54168141",NA,NA,NA,"BRD-K54168141","Unknown","Unknown",NA
"brd-k54256913",NA,NA,NA,"BRD-K54256913","WEE1 kinase inhibitor","WEE1 kinase inhibitor",NA
"brd-k54285697",NA,NA,NA,"BRD-K54285697","Unknown","Unknown",NA
"brd-k54687541",NA,NA,NA,"BRD-K54687541","Unknown","Unknown",NA
"brd-k54822214",NA,NA,NA,"BRD-K54822214","Unknown","Unknown",NA
"brd-k55071917",NA,NA,NA,"BRD-K55071917","Unknown","Unknown",NA
"brd-k55116708",NA,NA,NA,"BRD-K55116708","Unknown","Unknown",NA
"brd-k55127335",NA,NA,NA,"BRD-K55127335","Unknown","Unknown",NA
"brd-k55216615",NA,NA,NA,"BRD-K55216615","Unknown","Unknown",NA
"brd-k55473186",NA,NA,NA,"BRD-K55473186","Unknown","Unknown",NA
"brd-k55502647",NA,NA,NA,"BRD-K55502647","Unknown","Unknown",NA
"brd-k55536701",NA,NA,NA,"BRD-K55536701","Unknown","Unknown",NA
"brd-k55612480",NA,NA,NA,"BRD-K55612480","Unknown","Unknown",NA
"brd-k55722623",NA,NA,NA,"BRD-K55722623","Unknown","Unknown",NA
"brd-k55827386",NA,NA,NA,"BRD-K55827386","Unknown","Unknown",NA
"brd-k55844427",NA,NA,NA,"BRD-K55844427","Unknown","Unknown",NA
"brd-k56024573",NA,NA,NA,"BRD-K56024573","Unknown","Unknown",NA
"brd-k56111351",NA,NA,NA,"BRD-K56111351","Unknown","Unknown",NA
"brd-k56196992",NA,NA,NA,"BRD-K56196992","Unknown","Unknown",NA
"brd-k56343971",NA,NA,NA,"BRD-K56343971","RAF inhibitor","RAF inhibitor",NA
"brd-k56411643",NA,NA,NA,"BRD-K56411643","Unknown","Unknown",NA
"brd-k56477805",NA,NA,NA,"BRD-K56477805","Unknown","Unknown",NA
"brd-k56515112 (medrysone)",NA,NA,NA,"BRD-K56515112","glucocorticoid receptor agonist","glucocorticoid receptor agonist",NA
"brd-k56518176",NA,NA,NA,"BRD-K56518176","Unknown","Unknown",NA
"brd-k56593336",NA,NA,NA,"BRD-K56593336","Unknown","Unknown",NA
"brd-k56596360",NA,NA,NA,"BRD-K56596360","Unknown","Unknown",NA
"brd-k56653679",NA,NA,NA,"BRD-K56653679","Unknown","Unknown",NA
"brd-k56658166",NA,NA,NA,"BRD-K56658166","Unknown","Unknown",NA
"brd-k57016430",NA,NA,NA,"BRD-K57016430","Unknown","Unknown",NA
"brd-k57019930",NA,NA,NA,"BRD-K57019930","Unknown","Unknown",NA
"brd-k57037351",NA,NA,NA,"BRD-K57037351","Unknown","Unknown",NA
"brd-k57080016",NA,NA,NA,"BRD-K57080016","MEK inhibitor","MEK inhibitor",NA
"brd-k57200229",NA,NA,NA,"BRD-K57200229","Unknown","Unknown",NA
"brd-k57309821",NA,NA,NA,"BRD-K57309821","Unknown","Unknown",NA
"brd-k57353465",NA,NA,NA,"BRD-K57353465","Unknown","Unknown",NA
"brd-k57457519",NA,NA,NA,"BRD-K57457519","Unknown","Unknown",NA
"brd-k57480017",NA,NA,NA,"BRD-K57480017","Unknown","Unknown",NA
"brd-k57592392",NA,NA,NA,"BRD-K57592392","Unknown","Unknown",NA
"brd-k57678861",NA,NA,NA,"BRD-K57678861","Unknown","Unknown",NA
"brd-k57732441",NA,NA,NA,"BRD-K57732441","Unknown","Unknown",NA
"brd-k57836103",NA,NA,NA,"BRD-K57836103","Unknown","Unknown",NA
"brd-k58070753",NA,NA,NA,"BRD-K58070753","Unknown","Unknown",NA
"brd-k58191509",NA,NA,NA,"BRD-K58191509","Unknown","Unknown",NA
"brd-k58214070",NA,NA,NA,"BRD-K58214070","Unknown","Unknown",NA
"brd-k58288048",NA,NA,NA,"BRD-K58288048","Unknown","Unknown",NA
"brd-k58306044",NA,NA,NA,"BRD-K58306044","Unknown","Unknown",NA
"brd-k58347372",NA,NA,NA,"BRD-K58347372","Unknown","Unknown",NA
"brd-k58479490",NA,NA,NA,"BRD-K58479490","Unknown","Unknown",NA
"brd-k58547240",NA,NA,NA,"BRD-K58547240","Unknown","Unknown",NA
"brd-k58618158",NA,NA,NA,"BRD-K58618158","Unknown","Unknown",NA
"brd-k58674774",NA,NA,NA,"BRD-K58674774","Unknown","Unknown",NA
"brd-k58679021",NA,NA,NA,"BRD-K58679021","Unknown","Unknown",NA
"brd-k58853583",NA,NA,NA,"BRD-K58853583","Unknown","Unknown",NA
"brd-k58900438",NA,NA,NA,"BRD-K58900438","Unknown","Unknown",NA
"brd-k58972465",NA,NA,NA,"BRD-K58972465","Unknown","Unknown",NA
"brd-k59470558",NA,NA,NA,"BRD-K59470558","Unknown","Unknown",NA
"brd-k59488055",NA,NA,NA,"BRD-K59488055","Unknown","Unknown",NA
"brd-k59556282",NA,NA,NA,"BRD-K59556282","Unknown","Unknown",NA
"brd-k59563627",NA,NA,NA,"BRD-K59563627","Unknown","Unknown",NA
"brd-k59705555",NA,NA,NA,"BRD-K59705555","Unknown","Unknown",NA
"brd-k59761766",NA,NA,NA,"BRD-K59761766","Unknown","Unknown",NA
"brd-k59962020",NA,NA,NA,"BRD-K59962020","Unknown","Unknown",NA
"brd-k59980915",NA,NA,NA,"BRD-K59980915","Unknown","Unknown",NA
"brd-k60067222",NA,NA,NA,"BRD-K60067222","Unknown","Unknown",NA
"brd-k60070073",NA,NA,NA,"BRD-K60070073","Unknown","Unknown",NA
"brd-k60093216",NA,NA,NA,"BRD-K60093216","Unknown","Unknown",NA
"brd-k60202068",NA,NA,NA,"BRD-K60202068","Unknown","Unknown",NA
"brd-k60218670",NA,NA,NA,"BRD-K60218670","Unknown","Unknown",NA
"brd-k60219430",NA,NA,NA,"BRD-K60219430","MDM inhibitor","MDM inhibitor",NA
"brd-k60297835",NA,NA,NA,"BRD-K60297835","Unknown","Unknown",NA
"brd-k60379529",NA,NA,NA,"BRD-K60379529","Unknown","Unknown",NA
"brd-k60690191",NA,NA,NA,"BRD-K60690191","glutamate receptor antagonist","glutamate receptor antagonist",NA
"brd-k60757524",NA,NA,NA,"BRD-K60757524","Unknown","Unknown",NA
"brd-k60772276",NA,NA,NA,"BRD-K60772276","Unknown","Unknown",NA
"brd-k60870698",NA,NA,NA,"BRD-K60870698","Unknown","Unknown",NA
"brd-k60895275",NA,NA,NA,"BRD-K60895275","Unknown","Unknown",NA
"brd-k61053657",NA,NA,NA,"BRD-K61053657","Unknown","Unknown",NA
"brd-k61105081",NA,NA,NA,"BRD-K61105081","Unknown","Unknown",NA
"brd-k61175124",NA,NA,NA,"BRD-K61175124","Unknown","Unknown",NA
"brd-k61217870",NA,NA,NA,"BRD-K61217870","Unknown","Unknown",NA
"brd-k61341215",NA,NA,NA,"BRD-K61341215","acetylcholine receptor antagonist","acetylcholine receptor antagonist",NA
"brd-k61359235",NA,NA,NA,"BRD-K61359235","Unknown","Unknown",NA
"brd-k61413806",NA,NA,NA,"BRD-K61413806","Unknown","Unknown",NA
"brd-k61496577 (flumethasone)",NA,NA,NA,"BRD-K61496577","glucocorticoid receptor agonist","glucocorticoid receptor agonist",NA
"brd-k61529775",NA,NA,NA,"BRD-K61529775","Unknown","Unknown",NA
"brd-k61717269",NA,NA,NA,"BRD-K61717269","Unknown","Unknown",NA
"brd-k61776140",NA,NA,NA,"BRD-K61776140","Unknown","Unknown",NA
"brd-k61981833",NA,NA,NA,"BRD-K61981833","Unknown","Unknown",NA
"brd-k62019540",NA,NA,NA,"BRD-K62019540","Unknown","Unknown",NA
"brd-k62169556",NA,NA,NA,"BRD-K62169556","Unknown","Unknown",NA
"brd-k62300190",NA,NA,NA,"BRD-K62300190","Unknown","Unknown",NA
"brd-k62310379 (fluticasone propionate)",NA,NA,NA,"BRD-K62310379","glucocorticoid receptor agonist","glucocorticoid receptor agonist",NA
"brd-k62748479",NA,NA,NA,"BRD-K62748479","Unknown","Unknown",NA
"brd-k62818989",NA,NA,NA,"BRD-K62818989","Unknown","Unknown",NA
"brd-k62970326",NA,NA,NA,"BRD-K62970326","Unknown","Unknown",NA
"brd-k63068307",NA,NA,NA,"BRD-K63068307","PI3K inhibitor","PI3K inhibitor",NA
"brd-k63175663",NA,NA,NA,"BRD-K63175663","Unknown","Unknown",NA
"brd-k63239300",NA,NA,NA,"BRD-K63239300","Unknown","Unknown",NA
"brd-k63245238",NA,NA,NA,"BRD-K63245238","Unknown","Unknown",NA
"brd-k63326650",NA,NA,NA,"BRD-K63326650","Unknown","Unknown",NA
"brd-k63350243",NA,NA,NA,"BRD-K63350243","Unknown","Unknown",NA
"brd-k63368502",NA,NA,NA,"BRD-K63368502","Unknown","Unknown",NA
"brd-k63399564",NA,NA,NA,"BRD-K63399564","Unknown","Unknown",NA
"brd-k63511615",NA,NA,NA,"BRD-K63511615","Unknown","Unknown",NA
"brd-k63712590",NA,NA,NA,"BRD-K63712590","Unknown","Unknown",NA
"brd-k63923597",NA,NA,NA,"BRD-K63923597","Aurora kinase inhibitor","Aurora kinase inhibitor",NA
"brd-k63954456",NA,NA,NA,"BRD-K63954456","Unknown","Unknown",NA
"brd-k63979920",NA,NA,NA,"BRD-K63979920","Unknown","Unknown",NA
"brd-k64058329",NA,NA,NA,"BRD-K64058329","Unknown","Unknown",NA
"brd-k64099269",NA,NA,NA,"BRD-K64099269","Unknown","Unknown",NA
"brd-k64304398",NA,NA,NA,"BRD-K64304398","Unknown","Unknown",NA
"brd-k64314806",NA,NA,NA,"BRD-K64314806","Unknown","Unknown",NA
"brd-k64366758",NA,NA,NA,"BRD-K64366758","Unknown","Unknown",NA
"brd-k64517075",NA,NA,NA,"BRD-K64517075","Unknown","Unknown",NA
"brd-k64525051",NA,NA,NA,"BRD-K64525051","Unknown","Unknown",NA
"brd-k64606589",NA,NA,NA,"BRD-K64606589","Unknown","Unknown",NA
"brd-k64642496",NA,NA,NA,"BRD-K64642496","BCRP inhibitor","BCRP inhibitor",NA
"brd-k64754843",NA,NA,NA,"BRD-K64754843","Unknown","Unknown",NA
"brd-k64835161",NA,NA,NA,"BRD-K64835161","CLK inhibitor, DYRK inhibitor","CLK inhibitor, DYRK inhibitor",NA
"brd-k64857848",NA,NA,NA,"BRD-K64857848","MAP kinase inhibitor","MAP kinase inhibitor",NA
"brd-k64885524",NA,NA,NA,"BRD-K64885524","Unknown","Unknown",NA
"brd-k64985742",NA,NA,NA,"BRD-K64985742","Unknown","Unknown",NA
"brd-k65050353",NA,NA,NA,"BRD-K65050353","Unknown","Unknown",NA
"brd-k65093687",NA,NA,NA,"BRD-K65093687","Unknown","Unknown",NA
"brd-k65148867",NA,NA,NA,"BRD-K65148867","Unknown","Unknown",NA
"brd-k65242613",NA,NA,NA,"BRD-K65242613","Unknown","Unknown",NA
"brd-k65342895",NA,NA,NA,"BRD-K65342895","Unknown","Unknown",NA
"brd-k65366129",NA,NA,NA,"BRD-K65366129","Unknown","Unknown",NA
"brd-k65404805",NA,NA,NA,"BRD-K65404805","Unknown","Unknown",NA
"brd-k65455015",NA,NA,NA,"BRD-K65455015","Unknown","Unknown",NA
"brd-k65742362",NA,NA,NA,"BRD-K65742362","Unknown","Unknown",NA
"brd-k65904652",NA,NA,NA,"BRD-K65904652","Unknown","Unknown",NA
"brd-k65955264",NA,NA,NA,"BRD-K65955264","Unknown","Unknown",NA
"brd-k65983740",NA,NA,NA,"BRD-K65983740","Unknown","Unknown",NA
"brd-k66254772",NA,NA,NA,"BRD-K66254772","Unknown","Unknown",NA
"brd-k66359319",NA,NA,NA,"BRD-K66359319","Unknown","Unknown",NA
"brd-k66381707",NA,NA,NA,"BRD-K66381707","Unknown","Unknown",NA
"brd-k66426634",NA,NA,NA,"BRD-K66426634","Unknown","Unknown",NA
"brd-k66438357",NA,NA,NA,"BRD-K66438357","Unknown","Unknown",NA
"brd-k66555411",NA,NA,NA,"BRD-K66555411","Unknown","Unknown",NA
"brd-k66634822",NA,NA,NA,"BRD-K66634822","Unknown","Unknown",NA
"brd-k66792149",NA,NA,NA,"BRD-K66792149","Unknown","Unknown",NA
"brd-k66909449",NA,NA,NA,"BRD-K66909449","Unknown","Unknown",NA
"brd-k67010098",NA,NA,NA,"BRD-K67010098","Unknown","Unknown",NA
"brd-k67090983",NA,NA,NA,"BRD-K67090983","Unknown","Unknown",NA
"brd-k67102207",NA,NA,NA,"BRD-K67102207","HDAC inhibitor","HDAC inhibitor",NA
"brd-k67118123",NA,NA,NA,"BRD-K67118123",NA,NA,NA
"BRD-K67118123",NA,NA,NA,NA,NA,"Unknown","Unknown"
"brd-k67414432",NA,NA,NA,"BRD-K67414432","Unknown","Unknown",NA
"brd-k67470788",NA,NA,NA,"BRD-K67470788","Unknown","Unknown",NA
"brd-k67484673",NA,NA,NA,"BRD-K67484673","Unknown","Unknown",NA
"brd-k67519589",NA,NA,NA,"BRD-K67519589","Unknown","Unknown",NA
"brd-k67619794",NA,NA,NA,"BRD-K67619794","Unknown","Unknown",NA
"brd-k67742177",NA,NA,NA,"BRD-K67742177","Unknown","Unknown",NA
"brd-k67847053 (guanabenz acetate)",NA,NA,NA,"BRD-K67847053","Unknown","Unknown",NA
"brd-k67870070",NA,NA,NA,"BRD-K67870070","Unknown","Unknown",NA
"brd-k67941506",NA,NA,NA,"BRD-K67941506","Unknown","Unknown",NA
"brd-k67977190",NA,NA,NA,"BRD-K67977190","angiotensin receptor antagonist","angiotensin receptor antagonist",NA
"brd-k68007270",NA,NA,NA,"BRD-K68007270","Unknown","Unknown",NA
"brd-k68038686",NA,NA,NA,"BRD-K68038686","Unknown","Unknown",NA
"brd-k68174511",NA,NA,NA,"BRD-K68174511","mTOR inhibitor","mTOR inhibitor",NA
"brd-k68191783",NA,NA,NA,"BRD-K68191783","Unknown","Unknown",NA
"brd-k68202742 (trichostatin a)",NA,NA,NA,"BRD-K68202742","HDAC inhibitor","HDAC inhibitor",NA
"brd-k68437527",NA,NA,NA,"BRD-K68437527","Unknown","Unknown",NA
"brd-k68548958",NA,NA,NA,"BRD-K68548958","histone acetyltransferase inhibitor","histone acetyltransferase inhibitor",NA
"brd-k68588778",NA,NA,NA,"BRD-K68588778","Unknown","Unknown",NA
"brd-k68690198",NA,NA,NA,"BRD-K68690198","Unknown","Unknown",NA
"brd-k68756823",NA,NA,NA,"BRD-K68756823","MAP kinase inhibitor","MAP kinase inhibitor",NA
"brd-k69159985",NA,NA,NA,"BRD-K69159985","Unknown","Unknown",NA
"brd-k69231968",NA,NA,NA,"BRD-K69231968","Unknown","Unknown",NA
"brd-k69406317",NA,NA,NA,"BRD-K69406317","Unknown","Unknown",NA
"brd-k69496360",NA,NA,NA,"BRD-K69496360","Unknown","Unknown",NA
"brd-k69501658",NA,NA,NA,"BRD-K69501658","Unknown","Unknown",NA
"brd-k69569876",NA,NA,NA,"BRD-K69569876","Unknown","Unknown",NA
"brd-k69676861",NA,NA,NA,"BRD-K69676861","Unknown","Unknown",NA
"brd-k69852452",NA,NA,NA,"BRD-K69852452","Unknown","Unknown",NA
"brd-k69888333",NA,NA,NA,"BRD-K69888333","Unknown","Unknown",NA
"brd-k70161581",NA,NA,NA,"BRD-K70161581","Unknown","Unknown",NA
"brd-k70229243",NA,NA,NA,"BRD-K70229243","Unknown","Unknown",NA
"brd-k70251741",NA,NA,NA,"BRD-K70251741","Unknown","Unknown",NA
"brd-k70415218",NA,NA,NA,"BRD-K70415218","Unknown","Unknown",NA
"brd-k70693222",NA,NA,NA,"BRD-K70693222","Unknown","Unknown",NA
"brd-k70714754",NA,NA,NA,"BRD-K70714754","Unknown","Unknown",NA
"brd-k70748405",NA,NA,NA,"BRD-K70748405","Unknown","Unknown",NA
"brd-k70751730",NA,NA,NA,"BRD-K70751730","histone demethylase inhibitor","histone demethylase inhibitor",NA
"brd-k70831943",NA,NA,NA,"BRD-K70831943","Unknown","Unknown",NA
"brd-k70871370",NA,NA,NA,"BRD-K70871370","Unknown","Unknown",NA
"brd-k70917163",NA,NA,NA,"BRD-K70917163","Unknown","Unknown",NA
"brd-k70918941",NA,NA,NA,"BRD-K70918941","Unknown","Unknown",NA
"brd-k70960308",NA,NA,NA,"BRD-K70960308","Unknown","Unknown",NA
"brd-k70977695",NA,NA,NA,"BRD-K70977695","Unknown","Unknown",NA
"brd-k71142328",NA,NA,NA,"BRD-K71142328","Unknown","Unknown",NA
"brd-k71172276",NA,NA,NA,"BRD-K71172276","Unknown","Unknown",NA
"brd-k71199328",NA,NA,NA,"BRD-K71199328","Unknown","Unknown",NA
"brd-k71303366",NA,NA,NA,"BRD-K71303366","Unknown","Unknown",NA
"brd-k71382703",NA,NA,NA,"BRD-K71382703","Unknown","Unknown",NA
"brd-k71489689",NA,NA,NA,"BRD-K71489689","Unknown","Unknown",NA
"brd-k71554540",NA,NA,NA,"BRD-K71554540","Unknown","Unknown",NA
"brd-k71574320",NA,NA,NA,"BRD-K71574320","Unknown","Unknown",NA
"brd-k71599932",NA,NA,NA,"BRD-K71599932","Unknown","Unknown",NA
"brd-k71670746",NA,NA,NA,"BRD-K71670746","Unknown","Unknown",NA
"brd-k71726959",NA,NA,NA,"BRD-K71726959","Unknown","Unknown",NA
"brd-k71835137",NA,NA,NA,"BRD-K71835137","Unknown","Unknown",NA
"brd-k71915010",NA,NA,NA,"BRD-K71915010","Unknown","Unknown",NA
"brd-k71926323",NA,NA,NA,"BRD-K71926323","bacterial DNA gyrase inhibitor","bacterial DNA gyrase inhibitor",NA
"brd-k71935468",NA,NA,NA,"BRD-K71935468","Unknown","Unknown",NA
"brd-k72161580",NA,NA,NA,"BRD-K72161580","Unknown","Unknown",NA
"brd-k72238567",NA,NA,NA,"BRD-K72238567","ribonucleotide reductase inhibitor","ribonucleotide reductase inhibitor",NA
"brd-k72264770",NA,NA,NA,"BRD-K72264770","histone lysine methyltransferase inhibitor","histone lysine methyltransferase inhibitor",NA
"brd-k72307842",NA,NA,NA,"BRD-K72307842","Unknown","Unknown",NA
"brd-k72381041",NA,NA,NA,"BRD-K72381041","Unknown","Unknown",NA
"brd-k72451865",NA,NA,NA,"BRD-K72451865","Unknown","Unknown",NA
"brd-k72504866",NA,NA,NA,"BRD-K72504866","Unknown","Unknown",NA
"brd-k72505034",NA,NA,NA,"BRD-K72505034","Unknown","Unknown",NA
"brd-k72615639",NA,NA,NA,"BRD-K72615639","Unknown","Unknown",NA
"brd-k72703948",NA,NA,NA,"BRD-K72703948","Aurora kinase inhibitor","Aurora kinase inhibitor",NA
"brd-k72732164",NA,NA,NA,"BRD-K72732164","Unknown","Unknown",NA
"brd-k72817452",NA,NA,NA,"BRD-K72817452","Unknown","Unknown",NA
"brd-k72864428",NA,NA,NA,"BRD-K72864428","Unknown","Unknown",NA
"brd-k72883421",NA,NA,NA,"BRD-K72883421","Unknown","Unknown",NA
"brd-k73125384",NA,NA,NA,"BRD-K73125384","Unknown","Unknown",NA
"brd-k73155123",NA,NA,NA,"BRD-K73155123","Unknown","Unknown",NA
"brd-k73261812",NA,NA,NA,"BRD-K73261812","Unknown","Unknown",NA
"brd-k73285375",NA,NA,NA,"BRD-K73285375","Unknown","Unknown",NA
"brd-k73315009",NA,NA,NA,"BRD-K73315009","Unknown","Unknown",NA
"brd-k73319509",NA,NA,NA,"BRD-K73319509","c-Met inhibitor","c-Met inhibitor",NA
"brd-k73418978",NA,NA,NA,"BRD-K73418978","Unknown","Unknown",NA
"brd-k73567619",NA,NA,NA,"BRD-K73567619","Unknown","Unknown",NA
"brd-k73819439",NA,NA,NA,"BRD-K73819439","Unknown","Unknown",NA
"brd-k73888531",NA,NA,NA,"BRD-K73888531","Unknown","Unknown",NA
"brd-k73945663",NA,NA,NA,"BRD-K73945663","Unknown","Unknown",NA
"brd-k73951926",NA,NA,NA,"BRD-K73951926","Unknown","Unknown",NA
"brd-k74029109",NA,NA,NA,"BRD-K74029109","Unknown","Unknown",NA
"brd-k74126469",NA,NA,NA,"BRD-K74126469","Unknown","Unknown",NA
"brd-k74133369",NA,NA,NA,"BRD-K74133369","ATP synthase inhibitor, ATPase inhibitor","ATP synthase inhibitor, ATPase inhibitor",NA
"brd-k74155249",NA,NA,NA,"BRD-K74155249","Unknown","Unknown",NA
"brd-k74447990",NA,NA,NA,"BRD-K74447990","Unknown","Unknown",NA
"brd-k74486276",NA,NA,NA,"BRD-K74486276","Unknown","Unknown",NA
"brd-k74561903",NA,NA,NA,"BRD-K74561903","Unknown","Unknown",NA
"brd-k74623475",NA,NA,NA,"BRD-K74623475","Unknown","Unknown",NA
"brd-k74690444",NA,NA,NA,"BRD-K74690444","Unknown","Unknown",NA
"brd-k74711637",NA,NA,NA,"BRD-K74711637","Unknown","Unknown",NA
"brd-k74761218",NA,NA,NA,"BRD-K74761218","Unknown","Unknown",NA
